id_piloto,id_corrida,tipo_stat,valor
1,2,1,80,30
1,2,2,3,00
1,2,3,82,50
1,2,4,75,10
1,2,5,1,00
1,2,6,6,90
1,9,1,87,00
1,9,2,1,00
1,9,3,80,40
1,9,4,79,40
1,9,5,6,00
1,9,6,9,20
3,7,1,98,40
3,7,2,1,00
3,7,3,83,90
3,7,4,79,50
3,7,5,18,00
3,7,6,15,70
7,8,1,80,50
7,8,2,1,00
7,8,3,84,40
7,8,4,77,10
7,8,5,2,00
7,8,6,17,90
7,9,1,98,50
7,9,2,3,00
7,9,3,80,70
7,9,4,77,40
7,9,5,19,00
7,9,6,5,40
8,5,1,83,40
8,5,2,2,00
8,5,3,80,50
8,5,4,78,50
8,5,5,4,00
8,5,6,14,80
8,8,1,90,00
8,8,2,3,00
8,8,3,84,70
8,8,4,78,40
8,8,5,14,00
8,8,6,12,00
8,9,1,91,00
8,9,2,3,00
8,9,3,84,40
8,9,4,78,20
8,9,5,13,00
8,9,6,17,80
10,5,1,97,30
10,5,2,2,00
10,5,3,82,00
10,5,4,79,50
10,5,5,17,00
10,5,6,14,90
11,9,1,90,20
11,9,2,2,00
11,9,3,81,50
11,9,4,75,80
11,9,5,12,00
11,9,6,17,30
12,2,1,91,60
12,2,2,2,00
12,2,3,82,30
12,2,4,79,90
12,2,5,12,00
12,2,6,19,40
12,9,1,93,80
12,9,2,1,00
12,9,3,81,50
12,9,4,79,00
12,9,5,16,00
12,9,6,13,90
14,7,1,83,90
14,7,2,2,00
14,7,3,80,40
14,7,4,77,60
14,7,5,4,00
14,7,6,10,70
15,2,1,88,00
15,2,2,2,00
15,2,3,80,00
15,2,4,77,30
15,2,5,8,00
15,2,6,16,10
17,9,1,88,20
17,9,2,2,00
17,9,3,80,20
17,9,4,75,00
17,9,5,8,00
17,9,6,14,30
18,5,1,92,30
18,5,2,1,00
18,5,3,84,10
18,5,4,79,50
18,5,5,14,00
18,5,6,11,70
19,6,1,98,80
19,6,2,2,00
19,6,3,81,60
19,6,4,78,30
19,6,5,19,00
19,6,6,12,40
20,8,1,80,10
20,8,2,2,00
20,8,3,80,10
20,8,4,79,90
20,8,5,1,00
20,8,6,15,00
22,1,1,93,01
22,1,2,1,00
22,1,3,80,00
22,1,4,78,00
22,1,5,14,00
22,1,6,16,00
22,3,1,92,40
22,3,2,3,00
22,3,3,83,20
22,3,4,76,90
22,3,5,16,00
22,3,6,7,80
25,2,1,96,70
25,2,2,2,00
25,2,3,81,60
25,2,4,79,60
25,2,5,16,00
25,2,6,6,70
26,4,1,91,00
26,4,2,2,00
26,4,3,84,00
26,4,4,75,20
26,4,5,11,00
26,4,6,18,50
26,9,1,99,70
26,9,2,1,00
26,9,3,84,50
26,9,4,75,30
26,9,5,20,00
26,9,6,18,20
28,2,1,92,60
28,2,2,1,00
28,2,3,84,80
28,2,4,78,00
28,2,5,13,00
28,2,6,16,70
28,8,1,84,60
28,8,2,2,00
28,8,3,84,40
28,8,4,77,40
28,8,5,8,00
28,8,6,5,00
29,2,1,97,60
29,2,2,3,00
29,2,3,84,00
29,2,4,75,70
29,2,5,17,00
29,2,6,5,10
30,1,1,88,82
30,1,2,1,00
30,1,3,82,00
30,1,4,80,00
30,1,5,7,00
30,1,6,30,00
32,8,1,80,80
